City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,emerald,-23.5333,148.1667,306.67,31,9,4.49,AU,1730773061
147,susuman,62.7833,148.1667,252.56,94,100,1.28,RU,1730773535
148,san patricio,28.017,-97.5169,300.12,82,99,9.7,US,1730773133
149,nadi,-17.8,177.4167,303.15,62,40,4.12,FJ,1730773538
150,mount gambier,-37.8333,140.7667,297.42,26,1,3.1,AU,1730773104
151,al 'aziziyah,32.9058,45.0616,292.44,63,33,4.39,IQ,1730773540
152,port augusta,-32.5,137.7667,308.23,19,78,5.29,AU,1730773014
153,puqi,29.7167,113.8833,293.0,47,6,3.42,CN,1730773542
154,punta arenas,-53.15,-70.9167,279.21,70,75,4.63,CL,1730772998
155,shakhtinsk,49.71,72.5872,270.26,76,4,2.32,KZ,1730773544
156,portland,45.5234,-122.6762,284.16,84,40,3.09,US,1730772676
157,bamboo flat,11.7,92.7167,300.2,83,100,4.63,IN,1730773547
158,port-cartier,50.0334,-66.8654,274.34,75,100,1.67,CA,1730773548
159,ispir,40.4829,40.9956,276.62,73,18,3.0,TR,1730773549
160,bardai,11.65,7.2333,291.15,33,26,3.6,NG,1730773550
161,alenquer,-1.9417,-54.7383,299.4,77,100,0.8,BR,1730773551
162,chanute,37.6792,-95.4572,290.21,94,100,4.63,US,1730773553
163,riosucio,5.4216,-75.7032,288.35,96,100,0.93,CO,1730773554
164,nanning,22.8167,108.3167,296.4,75,100,3.91,CN,1730773555
165,sarny,51.338,26.6019,271.51,76,18,2.55,UA,1730773556
166,collie,-33.3667,116.15,291.56,55,35,6.31,AU,1730773557
167,pulivendla,14.4167,78.2333,296.9,80,25,1.73,IN,1730773558
168,bandarbeyla,9.4942,50.8122,298.36,82,77,2.28,SO,1730773559
169,nuuk,64.1835,-51.7216,268.49,93,40,4.63,GL,1730773561
170,ghugus,19.9333,79.1333,295.14,65,0,1.14,IN,1730773562
171,wenatchee,47.4235,-120.3103,283.37,55,0,8.05,US,1730773475
172,puan,35.7281,126.7319,287.09,58,71,5.68,KR,1730773564
173,san carlos de bariloche,-41.1456,-71.3082,280.01,70,40,12.35,AR,1730773566
174,fortuna,40.5982,-124.1573,287.55,83,100,0.0,US,1730773070
175,porto velho,-8.7619,-63.9039,301.18,69,20,1.03,BR,1730773568
176,sabha,27.0377,14.4283,289.78,51,0,3.75,LY,1730773569
177,caleta de carquin,-11.0925,-77.6267,291.75,86,96,4.3,PE,1730773571
178,new norfolk,-42.7826,147.0587,294.1,26,0,1.67,AU,1730773155
179,spring creek,40.7266,-115.5859,278.93,54,46,3.52,US,1730773573
180,murun-kuren,49.6342,100.1625,270.3,60,51,1.12,MN,1730773574
181,roma,43.2128,-75.4557,285.75,62,75,4.02,US,1730773575
182,nova sintra,14.8667,-24.7167,299.43,77,0,6.55,CV,1730773576
183,lebu,-37.6167,-73.65,282.83,88,0,1.79,CL,1730773577
184,timmins,48.4669,-81.3331,283.05,100,100,5.66,CA,1730773579
185,longyearbyen,78.2186,15.6401,265.06,86,0,6.17,SJ,1730773580
186,kone,-21.0595,164.8658,299.52,57,98,2.36,NC,1730773074
187,baglung,28.2719,83.5898,289.99,84,62,1.08,NP,1730773582
188,lazaro cardenas,17.9583,-102.2,299.42,83,0,1.41,MX,1730773412
189,port lincoln,-34.7333,135.8667,291.92,72,100,6.77,AU,1730773169
190,kerikeri,-35.2268,173.9474,292.96,44,0,3.66,NZ,1730773586
191,kailua-kona,19.6406,-155.9956,299.42,83,100,0.89,US,1730773587
192,guangyuan,32.442,105.823,290.07,76,64,0.66,CN,1730773588
193,kununurra,-15.7667,128.7333,310.14,36,3,2.57,AU,1730773569
194,tambura,5.6,27.4667,293.2,84,81,0.86,SS,1730773591
